Integration_Size,Filtered_Average_time,Filtered_Time_Deviation,Unfiltered_Average_time,Unfiltered_timeDeviation
2000,0.3495,0.0050,0.3492,0.0128
2500,0.4405,0.0093,0.4400,0.0225
3000,0.5241,0.1723,0.5229,0.1736
3500,0.6107,0.2154,0.6104,0.2153
4000,0.6976,0.2201,0.7021,0.2331
4500,0.7862,0.1493,0.7852,0.1536
5000,0.8806,0.0153,0.8719,0.0995
5500,0.9610,0.1947,0.9595,0.1993
6000,1.0484,0.0146,1.0463,0.0652
6500,1.1358,0.1590,1.1340,0.0652
7000,1.2234,0.1750,1.2206,0.1833
7500,1.3119,0.0167,1.3083,0.0792
8000,1.3984,0.1709,1.3954,0.1818
8500,1.4855,0.2136,1.4822,0.2234
9000,1.5609,0.5631,1.5793,0.5947
9500,1.6597,0.1460,1.6565,0.1637
10000,1.7475,0.1071,1.7440,0.1325
